YouRH Summit Porto Alegre - BASE CLIENTES RS,Horário de envio,Processados,Entregues,Perdidos,Abertos,Bounce,Spam,Descadastramento,Taxa de entrega,Taxa de abertura,Taxa de clique,Taxa de bounce,Taxa de soft bounce,Taxa de hard bounce,Taxa de marcado como spam,Taxa de descadastramento
Horário otimizado,12/03/2026 12:00:00,10,10,0,6,0,0,0,100,60,20,0,0,0,0,0
Horário agendado,12/03/2026 00:00:00,11,10,0,3,1,0,0,"90,91",30,0,"9,09",0,"9,09",0,0
