YouRH Summit Porto Alegre - BASE LEADS AGENDADOS RS,Horário de envio,Processados,Entregues,Perdidos,Abertos,Bounce,Spam,Descadastramento,Taxa de entrega,Taxa de abertura,Taxa de clique,Taxa de bounce,Taxa de soft bounce,Taxa de hard bounce,Taxa de marcado como spam,Taxa de descadastramento
Horário otimizado,12/03/2026 12:00:00,36,35,0,9,1,0,0,"97,22","25,71","11,43","2,78","2,78",0,0,0
Horário agendado,12/03/2026 00:00:00,37,34,0,11,3,0,0,"91,89","32,35","8,82","8,11","5,41","2,7",0,0
